Customer,Name,Currency,Ctlg Nbr,Prod Group Catalog,Product ID,Descr,Brand,Category,Kit,UOM,Default UOM,Pricing UOM,List Price,Discount_pct,DFI_Price
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91754,NAV HARBOR RMF,SONANCE,AMPS,N,EA,Y,Default,840.0000,0.25,630.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91755,VC60SX D W,SONANCE,OTHER_SONANCE,N,EA,Y,Default,43.0000,0.25,32.25
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91756,VC60SX D I,SONANCE,OTHER_SONANCE,N,EA,Y,Default,21.0000,0.25,15.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91757,VC60SX D A,SONANCE,OTHER_SONANCE,N,EA,Y,Default,21.0000,0.25,15.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91758,VC60RX D/S W,SONANCE,OTHER_SONANCE,N,EA,Y,Default,34.0000,0.25,25.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91759,VC60RX D/S I,SONANCE,OTHER_SONANCE,N,EA,Y,Default,18.0000,0.25,13.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91760,VC60RX D/S A,SONANCE,OTHER_SONANCE,N,EA,Y,Default,34.0000,0.25,25.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91761,NAV NET IR BEZEL I,SONANCE,OTHER_SONANCE,N,EA,Y,Default,16.0000,0.25,12.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91762,NAV NET IR BEZEL A,SONANCE,OTHER_SONANCE,N,EA,Y,Default,16.0000,0.25,12.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91763,MARINER SST W,SONANCE,OUTDOOR,N,EA,Y,Default,103.0000,0.25,77.25
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91764,MARINER SST B,SONANCE,OUTDOOR,N,EA,Y,Default,103.0000,0.25,77.25
